# cProfile cumulative time, top 50
         2573752 function calls (2517252 primitive calls) in 1.854 seconds

   Ordered by: cumulative time
   List reduced from 10026 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3345    0.042    0.000    0.056    0.000 <frozen importlib._bootstrap>:162(__enter__)
   2360/2    0.032    0.000    1.856    0.928 {built-in method builtins.exec}
     1007    0.029    0.000    0.051    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/pyvex/expr.py:921(op_arg_types)
     7374    0.028    0.000    0.028    0.000 {built-in method posix.stat}
    86037    0.020    0.000    0.020    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/page_backer_mixins.py:25(__getitem__)
   179993    0.020    0.000    0.021    0.000 {built-in method builtins.isinstance}
2958/2881    0.020    0.000    0.059    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/claripy/ast/base.py:133(__new__)
     1438    0.019    0.000    0.023    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/ultra_page.py:137(store)
     2721    0.017    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        3    0.017    0.006    0.017    0.006 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/cffi/api.py:879(update_accessors)
     2082    0.017    0.000    0.150    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
    50114    0.016    0.000    0.041    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/refcount_mixin.py:39(acquire_shared)
  896/235    0.013    0.000    0.032    0.000 /usr/lib/python3.12/re/_parser.py:512(_parse)
    91267    0.013    0.000    0.024    0.000 /home/ubuntu/repos/angr/angr/misc/picklable_lock.py:17(__enter__)
    39660    0.013    0.000    0.031    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/refcount_mixin.py:47(release_shared)
     2106    0.013    0.000    0.038    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/ultra_page.py:27(__init__)
21648/196    0.012    0.000    0.027    0.000 /usr/lib/python3.12/copy.py:118(deepcopy)
     1265    0.012    0.000    0.012    0.000 {built-in method _io.open_code}
    91267    0.012    0.000    0.020    0.000 /home/ubuntu/repos/angr/angr/misc/picklable_lock.py:20(__exit__)
    91248    0.011    0.000    0.011    0.000 {method '__enter__' of '_thread.lock' objects}
    15037    0.011    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     3345    0.011    0.000    0.073    0.000 <frozen importlib._bootstrap>:304(acquire)
   2277/6    0.011    0.000    0.052    0.009 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/claripy/backends/backend_z3.py:545(_abstract_internal)
17546/16717    0.011    0.000    0.021    0.000 {built-in method __new__ of type object at 0xa43b40}
      817    0.010    0.000    0.010    0.000 {method 'read' of '_io.FileIO' objects}
     6163    0.010    0.000    0.010    0.000 {method 'read' of '_io.BufferedReader' objects}
99245/97686    0.010    0.000    0.012    0.000 {built-in method builtins.len}
     2169    0.010    0.000    0.110    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     2082    0.010    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     1007    0.009    0.000    0.067    0.000 /home/ubuntu/repos/angr/angr/engines/vex/claripy/irop.py:255(__init__)
   2228/2    0.009    0.000    1.067    0.533 <frozen importlib._bootstrap>:1349(_find_and_load)
57815/57781    0.009    0.000    0.012    0.000 {built-in method builtins.getattr}
    93329    0.009    0.000    0.009    0.000 {method '__exit__' of '_thread.lock' objects}
     1329    0.009    0.000    0.020    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/networkx/utils/backends.py:218(__new__)
    71208    0.008    0.000    0.008    0.000 {method 'get' of 'dict' objects}
     4334    0.008    0.000    0.008    0.000 {method 'match' of 're.Pattern' objects}
     6004    0.008    0.000    0.012    0.000 {built-in method builtins.max}
       60    0.008    0.000    0.030    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/ultra_page.py:50(copy)
