# cProfile cumulative time, top 50
         13387528 function calls (13291286 primitive calls) in 9.654 seconds

   Ordered by: cumulative time
   List reduced from 9517 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
# cProfile tottime (self), top 50
         13387528 function calls (13291286 primitive calls) in 9.654 seconds

   Ordered by: internal time
   List reduced from 9517 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    92700    1.976    0.000    2.318    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/page_backer_mixins.py:240(_initialize_page)
     7469    0.783    0.000    0.812    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/ultra_page.py:137(store)
  2212650    0.513    0.000    0.513    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/page_backer_mixins.py:25(__getitem__)
       45    0.353    0.008    0.353    0.008 {method 'resume_after_simprocedure' of 'builtins.RustExplorationManager' objects}
    93285    0.284    0.000    1.310    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/ultra_page.py:27(__init__)
    93826    0.198    0.000    0.604    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/sortedcontainers/sorteddict.py:113(__init__)
      540    0.197    0.000    0.721    0.001 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/ultra_page.py:50(copy)
    92700    0.179    0.000    0.257    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/privileged_mixin.py:33(_initialize_page)
    92565    0.151    0.000    4.500    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:374(_map_page)
    93826    0.134    0.000    0.258    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/sortedcontainers/sortedlist.py:323(update)
    92655    0.132    0.000    1.541    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:85(_initialize_default_page)
     2082    0.129    0.000    0.129    0.000 {built-in method marshal.loads}
   185355    0.108    0.000    1.439    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:91(_initialize_page)
