# cProfile cumulative time, top 50
         13226302 function calls (13134336 primitive calls) in 8.181 seconds

   Ordered by: cumulative time
   List reduced from 9431 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    92700    1.654    0.000    1.971    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/page_backer_mixins.py:240(_initialize_page)
    92718    0.283    0.000    1.398    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/ultra_page.py:27(__init__)
    92565    0.265    0.000    1.790    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:85(_initialize_default_page)
    92899    0.209    0.000    0.688    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/sortedcontainers/sorteddict.py:113(__init__)
    92899    0.205    0.000    0.334    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/sortedcontainers/sortedlist.py:323(update)
25047/22795    0.160    0.000    0.507    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/claripy/ast/base.py:133(__new__)
    92565    0.152    0.000    4.404    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:374(_map_page)
     2081    0.132    0.000    0.132    0.000 {built-in method marshal.loads}
   362595    0.118    0.000    0.301    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/refcount_mixin.py:47(release_shared)
   120083    0.117    0.000    0.610    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/claripy/ast/bv.py:235(BVV)
   185265    0.109    0.000    1.536    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:91(_initialize_page)
   652279    0.108    0.000    0.196    0.000 /home/ubuntu/repos/angr/angr/misc/picklable_lock.py:17(__enter__)
  1035289    0.105    0.000    0.113    0.000 {built-in method builtins.isinstance}
    92763    0.104    0.000    2.265    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/page_backer_mixins.py:187(_initialize_page)
    92763    0.102    0.000    2.113    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/page_backer_mixins.py:52(_initialize_page)
    92700    0.102    0.000    0.177    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/privileged_mixin.py:33(_initialize_page)
   278119    0.091    0.000    0.235    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/refcount_mixin.py:39(acquire_shared)
   652144    0.088    0.000    0.088    0.000 {method '__enter__' of '_thread.lock' objects}
   105862    0.086    0.000    2.506    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:66(_get_page)
   652279    0.084    0.000    0.142    0.000 /home/ubuntu/repos/angr/angr/misc/picklable_lock.py:20(__exit__)
    92718    0.083    0.000    0.240    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/permissions_mixin.py:14(__init__)
    92899    0.081    0.000    0.428    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/sortedcontainers/sorteddict.py:545(update)
   105862    0.079    0.000    2.590    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/privileged_mixin.py:23(_get_page)
    92763    0.066    0.000    2.331    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/stack_allocation_mixin.py:72(_initialize_page)
   188430    0.066    0.000    0.081    0.000 {method 'extend' of 'list' objects}
    92718    0.064    0.000    0.369    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/refcount_mixin.py:12(__init__)
    92718    0.060    0.000    0.430    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/history_tracking_mixin.py:18(__init__)
   200826    0.059    0.000    0.120    0.000 {built-in method builtins.next}
      135    0.058    0.000    4.462    0.033 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:347(map_region)
   653621    0.058    0.000    0.058    0.000 {method '__exit__' of '_thread.lock' objects}
    10575    0.056    0.000    0.321    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:177(store)
    10575    0.052    0.000    0.091    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/ultra_page.py:137(store)
     3344    0.048    0.000    0.062    0.000 <frozen importlib._bootstrap>:162(__enter__)
4583/4561    0.048    0.000    0.133    0.000 {built-in method builtins.__build_class__}
   184384    0.044    0.000    0.044    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/page_backer_mixins.py:25(__getitem__)
53922/53292    0.043    0.000    0.067    0.000 /home/ubuntu/repos/angr/angr/state_plugins/sim_action_object.py:21(_raw_ast)
      352    0.040    0.000    0.341    0.001 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:59(__del__)
332176/330617    0.039    0.000    0.051    0.000 {built-in method builtins.len}
   120303    0.036    0.000    0.036    0.000 /usr/lib/python3.12/weakref.py:133(__getitem__)
173028/172199    0.036    0.000    0.047    0.000 {built-in method __new__ of type object at 0xa43b40}
      270    0.035    0.000    0.271    0.001 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:42(copy)
    92808    0.035    0.000    0.062    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/memory_mixin.py:26(__init__)
